original_title,release_date
Pet Sematary,4/21/89
The Cry of the Owl,2/7/09
Gremlins,6/7/84
Star Wars,5/25/77
Dirty Grandpa,1/21/16
Doctor Zhivago,12/22/65
Trash,10/9/14
High School Musical 3: Senior Year,10/22/08
The Fighter,12/17/10
Jackass Number Two,9/22/06
My Cousin Vinny,3/13/92
If I Stay,8/21/14
Drive Hard,5/26/14
Major League,2/16/89
St. Trinian's,12/21/07
Phone Booth,9/9/02
A Walk to Remember,1/25/02
Dead Man Walking,12/29/95
Cruel Intentions,3/5/99
Saw VI,10/22/09
History of the World: Part I,6/12/81
The Secret Life of Bees,9/17/08
Corky Romano,10/12/01
Raising Cain,8/7/92
F.I.S.T.,4/26/78
Invaders from Mars,1/1/86
Brooklyn,10/20/15
Barry Lyndon,12/18/75
Out Cold,11/21/01
The Ladies Man,10/13/00
Quartet,9/8/12
Tomcats,3/30/01
Frailty,11/17/01
Woman in Gold,4/10/15
Kinsey,9/4/04
Army of Darkness,10/9/92
Slackers,2/1/02
What's Eating Gilbert Grape,12/17/93
The Visual Bible: The Gospel of John,9/11/03
Vera Drake,10/22/04
The Guru,8/21/02
The Perez Family,5/12/95
Inside Llewyn Davis,10/6/13
O,8/31/01
Return to the Blue Lagoon,8/2/91
The Molly Maguires,1/27/70
Romance & Cigarettes,9/13/05
Copying Beethoven,9/10/06
Brighton Rock,9/13/10
Saw V,10/23/08
Gli intoccabili,4/1/69
LOL,2/10/12
Jindabyne,7/20/06
An Ideal Husband,4/15/99
The Last Days on Mars,8/11/13
Darkness,10/2/02
2001: A Space Odyssey,4/10/68
E.T. the Extra-Terrestrial,4/3/82
In the Land of Women,4/16/07
The Blue Butterfly,2/20/04
There Goes My Baby,9/2/94
Housefull,4/30/10
September Dawn,5/17/07
For Greater Glory - The True Story of Cristiada,6/1/12
La Famille Bélier,12/17/14
Good Will Hunting,12/5/97
Misconduct,2/5/16
Saw III,10/27/06
Stripes,6/25/81
Bring It On,8/25/00
The Purge: Election Year,6/29/16
She's All That,1/29/99
Saw IV,10/25/07
White Noise,1/7/05
Madea's Family Reunion,2/24/06
The Color of Money,10/7/86
The Longest Day,9/25/62
The Mighty Ducks,10/1/92
The Grudge,10/22/04
Happy Gilmore,2/16/96
Jeepers Creepers,7/1/01
Bill & Ted's Excellent Adventure,2/17/89
Oliver!,9/26/68
The Best Exotic Marigold Hotel,11/28/11
Recess: School's Out,1/27/01
Mad Max Beyond Thunderdome,6/29/85
Commando,10/3/85
The Boy,1/22/16
Devil,1/13/10
Friday After Next,11/22/02
Insidious: Chapter 3,6/4/15
The Last Dragon,3/22/85
The Lawnmower Man,3/5/92
Nick and Norah's Infinite Playlist,10/3/08
Dogma,11/12/99
The Banger Sisters,9/20/02
Twilight Zone: The Movie,6/24/83
Road House,5/19/89
A Low Down Dirty Shame,11/23/94
Swimfan,9/6/02
Employee of the Month,10/6/06
Can't Hardly Wait,6/12/98
The Outsiders,3/25/83
Pete's Dragon,8/10/16
The Dead Zone,10/21/83
Sinister 2,8/19/15
Sparkle,8/17/12
Valentine,2/1/01
The Fourth Kind,11/6/09
A Prairie Home Companion,6/9/06
Sugar Hill,2/25/94
Invasion U.S.A.,9/27/85
Roll Bounce,9/23/05
Rushmore,9/17/98
Skyline,11/11/10
The Second Best Exotic Marigold Hotel,2/26/15
Kit Kittredge: An American Girl,7/2/08
The Perfect Man,6/17/05
Mo' Better Blues,8/3/90
Kung Pow: Enter the Fist,1/25/02
Tremors,1/19/90
Wrong Turn,5/30/03
The Long Riders,5/12/80
The Corruptor,3/12/99
Mud,5/1/13
Reno 911!: Miami,2/23/07
One Direction: This Is Us,8/28/13
"The Goods: Live Hard, Sell Hard",8/14/09
Hey Arnold! The Movie,6/28/02
My Week with Marilyn,10/17/11
The Matador,5/12/05
Love Jones,3/14/97
The Gift,7/30/15
End of the Spear,12/2/05
Get Over It,3/8/01
Office Space,2/19/99
Drop Dead Gorgeous,7/23/99
Big Eyes,12/24/14
Very Bad Things,9/11/98
Sleepover,7/9/04
Body Double,10/25/84
MacGruber,5/21/10
Dirty Pretty Things,9/5/02
Movie 43,1/1/13
Over Her Dead Body,2/1/08
Seeking a Friend for the End of the World,6/22/12
Cedar Rapids,2/11/11
American History X,10/30/98
The Collection,9/21/12
Teacher's Pet,1/16/04
The Red Violin,9/10/98
The Straight Story,10/15/99
Deuces Wild,5/3/02
Bad Words,9/6/13
Run Fatboy Run,9/6/07
Heartbeeps,12/18/81
Black or White,9/6/14
On the Line,10/26/01
Rescue Dawn,9/9/06
Danny Collins,3/19/15
"Jeff, Who Lives at Home",9/13/11
Io sono l'amore,9/5/09
Atlas Shrugged Part II,10/12/12
Romeo Is Bleeding,9/13/93
The Limey,5/15/99
Crash,1/13/04
The House of Mirth,9/23/00
Malone,5/1/87
Peaceful Warrior,3/30/06
Bucky Larson: Born to Be a Star,9/9/11
Bamboozled,10/6/00
The Forest,1/7/16
Sphinx,2/11/81
While We're Young,4/3/15
A Better Life,6/24/11
Spider,12/13/02
Gun Shy,2/4/00
Nicholas Nickleby,12/27/02
The Iceman,9/1/12
Cecil B. Demented,5/17/00
Killer Joe,9/10/11
The Joneses,9/13/09
Owning Mahowny,5/2/03
The Brothers Solomon,9/7/07
My Blueberry Nights,5/16/07
Illuminata,5/21/98
Swept Away,10/11/02
"War, Inc.",4/28/08
少林足球,7/12/01
The Brown Bunny,8/27/04
Rien ne va plus,10/15/97
Rosewater,11/7/14
La femme de chambre du Titanic,10/10/97
Coriolanus,2/14/11
Imaginary Heroes,9/14/04
High Heels and Low Lifes,7/16/01
World's Greatest Dad,8/20/09
Severance,5/19/06
Edmond,8/31/05
Welcome to the Rileys,10/29/10
Police Academy: Mission to Moscow,6/9/94
Blood Done Sign My Name,2/1/10
Cinco de Mayo: La Batalla,5/3/13
Elsa & Fred,3/7/14
"An Alan Smithee Film: Burn, Hollywood, Burn",2/20/98
The Open Road,2/7/09
The Good Guy,4/25/09
Motherhood,1/21/09
Free Style,12/24/08
Strangerland,7/1/15
Janky Promoters,10/16/09
Blonde Ambition,12/21/07
The Oxford Murders,1/18/08
The Reef,5/15/10
Eulogy,10/15/04
White Noise 2: The Light,1/5/07
Beat the World,6/10/11
Fifty Dead Men Walking,9/10/08
Jungle Shuffle,8/7/14
Adam Resurrected,8/8/08
Hross í oss,8/30/13
Hai Marjawaan!,5/7/10
The Devil's Tomb,5/26/09
Partition,2/2/07
Good Intentions,3/9/10
"좋은 놈, 나쁜 놈, 이상한 놈",7/16/08
Nurse 3-D,9/28/13
Gunless,4/30/10
Adventureland,4/3/09
The Lost City,9/3/05
Next Friday,1/12/00
American Heist,9/11/14
You Only Live Twice,6/12/67
Plastic,4/30/14
Amour,7/1/12
Poltergeist III,6/10/88
Re-Kill,10/16/15
"It's a Mad, Mad, Mad, Mad World",11/7/63
Volver,3/16/06
Heavy Metal,8/7/81
Gentlemen Broncos,9/30/09
Richard III,12/29/95
Into the Grizzly Maze,2/27/15
Kites,5/21/10
Melancholia,5/26/11
Red Dog,8/4/11
Jab Tak Hai Jaan,11/13/12
Alien,5/25/79
The Texas Chain Saw Massacre,10/1/74
The Runaways,3/19/10
Fiddler on the Roof,11/3/71
Thunderball,12/16/65
Detention,3/16/11
Mine vaganti,2/12/10
Set It Off,11/6/96
The Best Man,10/22/99
Child's Play,11/8/88
Sicko,5/18/07
The Purge: Anarchy,7/17/14
Down to You,1/21/00
Harold & Kumar Go to White Castle,5/30/04
The Contender,10/13/00
Boiler Room,2/18/00
Trading Places,6/7/83
Black Christmas,12/25/06
Breakin' All the Rules,5/14/04
Henry V,10/5/89
The Savages,1/19/07
Chasing Papi,4/16/03
The Way of the Gun,9/8/00
Igby Goes Down,9/13/02
PCU,4/29/94
The Ultimate Gift,10/20/06
The Ice Pirates,3/16/84
Gracie,6/1/07
Trust the Man,9/1/05
Hamlet 2,1/21/08
Velvet Goldmine,10/23/98
곡성,5/12/16
Glee: The Concert Movie,8/11/11
Due occhi diabolici,1/25/90
Barbecue,4/30/14
All or Nothing,5/17/02
Princess Kaiulani,5/14/10
Opal Dream,11/22/06
Flammen & Citronen,3/25/08
Undiscovered,8/26/05
Red Riding: In the Year of Our Lord 1974,2/28/09
La Fille du RER,3/18/09
Veronika Decides to Die,5/16/09
Crocodile Dundee,9/26/86
"Ultramarines: A Warhammer 40,000 Movie",12/10/10
The I Inside,1/15/04
Beneath Hill 60,4/15/10
Polisse,10/6/11
Awake,11/28/07
Star Wars: Clone Wars (Volume 1),3/21/05
Skin Trade,11/7/14
The Lost Boys,7/31/87
Crazy Heart,12/16/09
The Rose,11/7/79
Baggage Claim,9/27/13
Barbarella,10/10/68
Håkon Håkonsen,10/3/90
Election,4/23/99
The Namesake,9/2/06
The DUFF,2/20/15
Glitter,9/21/01
The Haunting in Connecticut 2: Ghosts of Georgia,2/1/13
실미도,12/24/03
Bright Star,11/5/09
My Name Is Khan,2/12/10
All Is Lost,10/18/13
Limbo,6/4/99
Namastey London,3/27/07
The Wind That Shakes the Barley,5/18/06
Yeh Jawaani Hai Deewani,5/31/13
Quo Vadis,11/8/51
Repo! The Genetic Opera,7/18/08
Kurtlar vadisi - Irak,2/3/06
Pulp Fiction,10/8/94
The Muppet Movie,5/31/79
Nightcrawler,10/23/14
Club Dread,2/27/04
The Sound of Music,3/2/65
Splash,3/9/84
Little Miss Sunshine,7/26/06
Stand by Me,8/22/86
28 Days Later,10/31/02
You Got Served,1/30/04
Escape from Alcatraz,6/22/79
Brown Sugar,10/5/02
A Thin Line Between Love and Hate,4/4/96
50/50,9/30/11
Shutter,3/21/08
That Awkward Moment,1/29/14
Modern Problems,12/25/81
Kicks,9/9/16
Much Ado About Nothing,5/7/93
On Her Majesty's Secret Service,12/12/69
New Nightmare,10/13/94
Drive Me Crazy,10/1/99
Akeelah and the Bee,4/28/06
Half Baked,1/16/98
New in Town,1/30/09
American Psycho,4/13/00
The Good Girl,1/12/02
Bon Cop Bad Cop,7/6/06
The Boondock Saints II: All Saints Day,11/24/09
The City of Your Final Destination,3/21/09
Enough Said,9/18/13
Easy A,9/10/10
The Inkwell,4/22/94
Shadow of the Vampire,5/15/00
Prom,4/29/11
The Pallbearer,5/3/96
Held Up,10/8/99
Woman on Top,9/22/00
Howards End,3/13/92
Anomalisa,12/30/15
Another Year,11/5/10
8 femmes,1/8/02
Showdown in Little Tokyo,8/23/91
Clay Pigeons,9/25/98
It's Kind of a Funny Story,7/6/10
Made in Dagenham,9/11/10
And When Did You Last See Your Father?,10/5/07
Prefontaine,1/24/97
The Wicked Lady,4/21/83
The Secret of Kells,2/9/09
Begin Again,9/7/13
Down in the Valley,5/13/05
Brooklyn Rules,4/30/07
Restless,12/7/12
The Singing Detective,10/24/03
The Land Girls,9/25/98
Fido,9/7/06
The Wendell Baker Story,8/3/05
Wild Target,6/17/10
Pathology,4/11/08
Wuthering Heights,1/18/09
10th & Wolf,2/19/06
Dear Wendy,1/22/05
Aloft,2/12/14
The Death and Life of Bobby Z,7/23/07
Maurice Richard,10/25/05
Swelter,4/20/14
非常幸运,9/17/13
Imagine Me & You,2/1/05
Mr. Church,9/16/16
Swimming Pool,5/18/03
Green Street Hooligans: Underground,1/1/13
The Blood of Heroes,10/19/89
Code of Honor,5/6/16
Driving Miss Daisy,12/13/89
Soul Food,9/26/97
紅番區,1/30/95
Loin des hommes,8/30/14
Thank You for Smoking,9/5/05
Hostel: Part II,6/8/07
An Education,10/29/09
Shopgirl,10/21/05
The Hotel New Hampshire,3/9/84
Narc,1/14/02
Men with Brooms,9/20/02
Witless Protection,2/22/08
The Work and the Glory,11/24/04
Extract,9/3/09
Masked and Anonymous,8/8/03
Betty Fisher et autres histoires,9/1/01
Code 46,9/2/03
Outside Bet,4/27/12
Albert Nobbs,12/21/11
Black November,12/7/12
Ta Ra Rum Pum,4/27/07
Persepolis,5/23/07
The Hole,9/9/09
Die Welle,3/11/08
The Neon Demon,6/8/16
Harry Brown,11/11/09
The Omega Code,10/15/99
Juno,12/5/07
Pound of Flesh,5/7/15
Diamonds Are Forever,12/13/71
The Godfather,3/14/72
Flashdance,4/14/83
The Piano,5/19/93
Magic Mike,6/28/12
Darkness Falls,1/24/03
Live and Let Die,7/5/73
My Dog Skip,1/14/00
"Definitely, Maybe",2/8/08
Jumping the Broom,5/6/11
"Good Night, and Good Luck.",9/16/05
Capote,9/30/05
Desperado,8/25/95
Logan's Run,6/23/76
The Man with the Golden Gun,12/1/74
Action Jackson,2/12/88
The Descent,7/8/05
Michael Jordan to the Max,5/5/00
Devil's Due,1/8/14
Flirting with Disaster,3/22/96
The Devil's Rejects,7/22/05
Dope,6/19/15
In Too Deep,8/25/99
House of 1000 Corpses,4/11/03
Alien Zone,11/22/78
A Serious Man,10/2/09
Get Low,1/22/10
Warlock,6/1/89
Beyond the Lights,9/10/14
A Single Man,10/19/09
The Last Temptation of Christ,8/12/88
Outside Providence,8/16/99
Bride & Prejudice,2/11/04
Rabbit-Proof Fence,2/4/02
Who's Your Caddy?,7/27/07
Split Second,5/1/92
The Other Side of Heaven,4/12/01
Veer-Zaara,11/12/04
Redbelt,4/7/08
Cyrus,6/18/10
A Dog Of Flanders,8/27/99
Auto Focus,10/18/02
Factory Girl,12/29/06
We Need to Talk About Kevin,9/28/11
The Christmas Candle,11/22/13
The Mighty Macs,10/21/09
Losin' It,4/8/83
Mother and Child,11/7/09
March or Die,9/8/77
Les visiteurs,1/27/93
Somewhere,9/3/10
I Hope They Serve Beer in Hell,9/25/09
Chairman of the Board,3/13/98
Hesher,1/22/10
Dom Hemingway,11/15/13
Gerry,1/12/02
The Heart of Me,1/1/02
Freeheld,10/2/15
The Extra Man,8/1/10
Ca$h,1/1/10
Wah-Wah,8/17/05
The Boondock Saints,1/22/99
Z 風暴,6/19/14
Twixt,9/10/11
Alpha and Omega: The Legend of the Saw Tooth Cave,7/21/14
Pale Rider,6/28/85
Stargate: The Ark of Truth,3/11/08
Dazed and Confused,9/24/93
High School Musical 2,8/17/07
Two Lovers and a Bear,10/2/16
Criminal Activities,11/20/15
Aimee & Jaguar,2/10/99
The Chumscrubber,6/8/05
Shade,5/18/03
House at the End of the Street,9/21/12
Incendies,9/4/10
Ricordati di me,2/11/03
Perrier’s Bounty,9/11/09
Tropa de Elite,10/12/07
Annabelle,10/2/14
Bran Nue Dae,8/9/09
Boyz n the Hood,7/12/91
La Bamba,7/24/87
The Four Seasons,5/22/81
Dressed to Kill,6/25/80
The Adventures of Huck Finn,4/2/93
Go,4/9/99
Friends with Money,9/7/06
The Andromeda Strain,3/12/71
Bats,10/22/99
Nirgendwo in Afrika,12/11/01
Shame,10/2/11
Layer Cake,9/30/04
The Work and the Glory II: American Zion,10/21/05
The East,5/31/13
A Home at the End of the World,7/23/04
Aberdeen,7/5/00
The Messenger,11/13/09
Tracker,5/20/10
Control,9/26/07
The Terminator,10/26/84
"Good bye, Lenin!",2/9/03
The Damned United,3/27/09
The Return of the Living Dead,5/15/85
Mallrats,10/20/95
Grease,7/7/78
Platoon,12/18/86
Fahrenheit 9/11,6/25/04
Butch Cassidy and the Sundance Kid,9/23/69
Mary Poppins,8/27/64
Ordinary People,9/19/80
West Side Story,10/18/61
Caddyshack,7/25/80
The Brothers,3/23/01
The Wood,7/16/99
The Usual Suspects,7/19/95
A Nightmare on Elm Street 5: The Dream Child,8/11/89
National Lampoon’s Van Wilder,3/29/02
The Wrestler,9/7/08
Duel in the Sun,12/31/46
Best in Show,9/19/00
Escape from New York,5/22/81
School Daze,2/12/88
Daddy Day Camp,8/8/07
A Mighty Wind,4/16/03
Mystic Pizza,10/13/88
Sliding Doors,4/23/98
Tales from the Hood,5/24/95
The Last King of Scotland,9/1/06
Halloween 5: The Revenge of Michael Myers,10/12/89
Bernie,4/27/12
Dolphins and Whales: Tribes of the Ocean,2/15/08
Pollock,9/6/00
200 Cigarettes,2/26/99
The Words,9/7/12
Casa De Mi Padre,3/15/12
City Island,3/6/09
The Guard,7/7/11
College,8/28/08
The Virgin Suicides,4/21/99
Little Voice,11/5/98
Miss March,3/13/09
Wish I Was Here,1/18/14
Simply Irresistible,2/5/99
Hedwig and the Angry Inch,7/20/01
Only the Strong,8/27/93
Goddess of Love,8/31/15
Shattered Glass,11/14/03
Novocaine,11/23/01
The Business of Strangers,1/19/01
The Wild Bunch,6/17/69
The Wackness,7/3/08
The First Great Train Robbery,1/25/79
Morvern Callar,1/1/02
Beastmaster 2: Through the Portal of Time,6/8/91
The 5th Quarter,3/25/11
La fleur du mal,2/9/03
The Greatest,1/17/09
Snow Flower and the Secret Fan,7/15/11
Come Early Morning,1/10/06
Lucky Break,8/24/01
Julia,10/2/77
"Surfer, Dude",9/5/08
Lake of Fire,9/9/06
Men of War,9/4/94
Don McKay,4/24/09
Deadfall,11/8/12
A Shine of Rainbows,10/1/09
The Hit List,4/2/11
Emma,10/11/09
Videodrome,2/4/83
L'Auberge espagnole,5/17/02
Song One,1/20/14
Oorlogswinter,11/17/08
Freaky Deaky,4/22/12
The Train,9/21/64
Trade Of Innocents,9/27/12
Stiff Upper Lips,6/12/98
Bend It Like Beckham,4/11/02
Sunshine State,6/21/02
Crossover,9/1/06
Khiladi 786,12/7/12
Standing Ovation,7/16/10
The Sting,12/25/73
Chariots of Fire,5/15/81
Diary of a Mad Black Woman,2/25/05
Shine,1/21/96
Don Jon,7/26/13
High Plains Drifter,4/19/73
Ghost World,7/20/01
Iris,12/14/01
Galaxina,6/6/80
Les Choristes,3/17/04
Mambo Italiano,6/6/03
Wonderland,10/23/03
Do the Right Thing,6/30/89
Harvard Man,1/1/01
Le Havre,5/17/11
Irréversible,5/22/02
R100,10/5/13
Rang De Basanti,1/26/06
Animals,5/15/14
Salvation Boulevard,7/15/11
The Ten,8/3/07
A Room for Romeo Brass,8/23/99
Hodejegerne,8/4/11
Grabbers,8/10/12
Saint Ralph,9/11/04
Miss Julie,9/7/14
Somewhere in Time,10/2/80
Dum Maaro Dum,4/22/11
Insidious: Chapter 2,9/12/13
Saw II,10/28/05
10 Cloverfield Lane,3/10/16
Jackass: The Movie,10/21/02
Lights Out,7/21/16
Paranormal Activity 3,10/19/11
Ouija,10/24/14
A Nightmare on Elm Street 3: Dream Warriors,2/27/87
No se Aceptan Devoluciones,7/20/13
Paranormal Activity 4,10/17/12
The Robe,9/16/53
The Return of the Pink Panther,5/21/75
Freddy's Dead: The Final Nightmare,9/5/91
Monster,11/16/03
"20,000 Leagues Under the Sea",12/23/54
Paranormal Activity: The Marked Ones,1/1/14
The Elephant Man,10/2/80
Dallas Buyers Club,9/7/13
The Lazarus Effect,1/29/15
Memento,10/11/00
Oculus,9/8/13
Clerks II,5/25/06
Billy Elliot,5/18/00
The Way Way Back,6/6/13
House Party 2,10/23/91
The Man from Snowy River,3/2/82
Doug's 1st Movie,3/26/99
The Apostle,10/9/97
Mommie Dearest,9/18/81
Our Idiot Brother,8/26/11
Race,2/19/16
The Players Club,4/8/98
"As Above, So Below",8/14/14
Addicted,10/10/14
Eve's Bayou,9/7/97
Still Alice,12/5/14
The Egyptian,8/25/54
Nighthawks,3/17/81
Friday the 13th Part VIII: Jason Takes Manhattan,7/28/89
My Big Fat Greek Wedding,2/22/02
Spring Breakers,1/24/13
Halloween: The Curse of Michael Myers,9/29/95
Y tu mamá también,6/8/01
Shaun of the Dead,4/9/04
The Haunting of Molly Hartley,10/31/08
Lone Star,6/21/96
Halloween 4: The Return of Michael Myers,10/21/88
April Fool's Day,3/27/86
Diner,4/2/82
Lone Wolf McQuade,4/14/83
Apollo 18,7/20/11
Sunshine Cleaning,1/18/08
No Escape,8/26/15
The Beastmaster,8/20/82
Solomon and Sheba,12/25/59
Fifty Shades of Black,1/28/16
Not Easily Broken,1/9/09
A Farewell to Arms,12/8/32
The Perfect Match,3/11/16
Digimon: The Movie,3/17/00
Saved!,1/21/04
Les Invasions barbares,5/21/03
Robin and Marian,3/11/76
The Forsaken,4/27/01
Force 10 from Navarone,11/1/78
UHF,7/21/89
Grandma's Boy,1/6/06
Slums of Beverly Hills,8/14/98
C'era una volta il West,12/21/68
Made,7/13/01
Moon,6/12/09
Keeping Up with the Steins,5/12/06
Sea Rex 3D: Journey to a Prehistoric World,5/14/10
The Sweet Hereafter,5/14/97
Des hommes et des dieux,5/18/10
Bottle Shock,8/6/08
Jekyll and Hyde ... Together Again,11/10/82
Heavenly Creatures,9/2/94
90 Minutes in Heaven,9/11/15
Everything Must Go,10/15/10
Zero Effect,1/30/98
The Machinist,2/9/04
Light Sleeper,8/21/92
Kill the Messenger,10/9/14
Rabbit Hole,12/16/10
Party Monster,9/5/03
Green Room,4/15/16
The Oh in Ohio,3/30/06
Atlas Shrugged Part III: Who is John Galt?,9/12/14
Bottle Rocket,2/21/96
Albino Alligator,9/9/96
"Gandhi, My Father",8/3/07
Standard Operating Procedure,2/12/08
Out of the Blue,5/1/80
Tucker and Dale vs Evil,1/22/10
"Lovely, Still",1/1/08
Tycoon,12/27/47
Desert Blue,6/6/99
Decoys,2/27/04
The Visit,9/10/15
Redacted,1/1/07
Fascination,10/13/04
Area 51,5/15/15
Mientras duermes,10/14/11
The Cottage,2/7/08
Dead Like Me: Life After Death,2/17/09
Farce of the Penguins,12/1/06
Flying By,1/1/09
Rudderless,10/17/14
Henry & Me,8/18/14
Christmas Eve,12/4/15
We Have Your Husband,11/12/11
Dying of the Light,12/4/14
Born Of War,12/5/13
Capricorn One,12/10/77
Should've Been Romeo,4/28/12
Running Forever,10/27/15
Yoga Hosers,7/8/16
Navy Seals vs. Zombies,10/8/15
Obsluhoval jsem anglického krále,12/19/06
Soul Kitchen,9/9/09
Sling Blade,8/30/96
The Awakening,8/17/11
Hostel,1/6/05
A Cock and Bull Story,7/17/05
Take Shelter,11/25/11
Lady in White,4/22/88
Driving Lessons,4/30/06
Let's Kill Ward's Wife,12/23/14
The Texas Chainsaw Massacre 2,8/22/86
Pat Garrett & Billy the Kid,5/23/73
Only God Forgives,5/30/13
Camping Sauvage,10/13/05
Without Men,6/29/11
Dear Frankie,5/18/04
All Hat,9/11/07
Le Nom des gens,11/24/10
Treading Water,9/13/13
Savage Grace,5/18/07
Out of the Blue,10/12/06
Police Academy,3/22/84
The Blue Lagoon,7/5/80
Four Weddings and a Funeral,3/9/94
Fast Times at Ridgemont High,8/13/82
Moby Dick,6/27/56
25th Hour,12/16/02
Bound,9/13/96
Requiem for a Dream,10/27/00
State Fair,8/29/45
"Tango, no me dejes nunca",2/12/98
Salvador,4/23/86
Moms' Night Out,3/25/14
Donnie Darko,1/18/01
Salvando al Soldado Perez,3/18/11
Karakter,4/17/97
Spun,6/1/02
Life During Wartime,10/10/09
친절한 금자씨,7/29/05
"Nannerl, la soeur de Mozart",6/9/10
Mean Machine,12/26/01
放‧逐,9/6/06
Blackthorn,8/31/11
Lilja 4-Ever,8/23/02
After.Life,4/9/10
Fugly,6/13/14
One Flew Over the Cuckoo's Nest,11/18/75
R.L. Stine's Monsterville: The Cabinet of Souls,9/29/15
Silent Movie,6/17/76
Airlift,1/22/16
Anne of Green Gables,12/1/85
Falcon Rising,9/5/14
The Sweeney,9/11/12
Sexy Beast,9/13/00
Snabba Cash,1/15/10
Whale Rider,1/30/03
Paa,12/4/09
Cargo,9/24/09
High School Musical,1/20/06
Love and Death on Long Island,1/1/97
The Crying Game,9/2/92
Porky's,11/13/81
Survival of the Dead,5/6/10
Night of the Living Dead,10/1/68
Lost in Translation,8/31/03
Annie Hall,4/19/77
The Greatest Show on Earth,1/10/52
Monster's Ball,11/11/01
Maggie,5/8/15
Leaving Las Vegas,10/27/95
Hansel and Gretel Get Baked,2/19/13
The Front Page,12/1/74
The Boy Next Door,1/23/15
Trapeze,5/30/56
The Kids Are All Right,7/9/10
They Live,11/23/88
The Great Escape,6/20/63
What the #$*! Do We (K)now!?,4/23/04
The Last Exorcism Part II,2/28/13
Boyhood,6/5/14
Scoop,7/27/06
The Wash,11/16/01
3 Strikes,3/1/00
The Cooler,1/17/03
The Misfits,1/1/61
The Night Listener,2/12/06
The Jerky Boys,2/3/95
El orfanato,8/27/07
A Haunted House 2,4/17/14
The Rules of Attraction,10/11/02
Topaz,12/18/69
Let's Go to Prison,11/17/06
Four Rooms,12/9/95
Secretary,1/11/02
The Real Cancun,4/23/03
Talk Radio,12/21/88
Waiting for Guffman,1/31/96
Love Stinks,9/10/99
You Kill Me,2/9/07
Thumbsucker,1/23/05
Red State,8/19/11
Mirrormask,1/25/05
Samsara,9/16/11
The Barbarians,3/1/87
The Art of Getting By,6/17/11
Zipper,8/28/15
Poolhall Junkies,6/7/02
The Loss of Sexual Innocence,4/29/99
Holy Motors,7/2/12
Joe,4/11/14
Shooting Fish,8/22/97
Prison,3/4/88
Psycho Beach Party,8/6/00
The Big Tease,1/1/99
"Guten Tag, Ramón",10/18/13
Trust,9/10/10
An Everlasting Piece,12/22/00
Among Giants,6/24/98
Adore,4/3/13
The Velocity of Gary,7/16/99
Los lunes al sol,9/27/02
Stake Land,9/30/10
The Last Time I Committed Suicide,6/20/97
Praia do Futuro,5/1/14
Another Happy Day,11/18/11
A Lonely Place to Die,4/9/11
Nothing,9/9/03
1776,11/9/72
Inescapable,9/14/12
Hell's Angels,11/15/30
Purple Violets,4/30/07
The Veil,4/21/16
The Loved Ones,9/13/09
The Helpers,10/27/12
How to Fall in Love,7/21/12
The Perfect Wave,2/28/14
A Man for All Seasons,12/12/66
Network,11/1/76
Gone with the Wind,12/15/39
Desert Dancer,7/3/14
Major Dundee,4/7/65
Annie Get Your Gun,5/17/50
Four Lions,5/7/10
Casa de Areia,5/13/05
Defendor,9/12/09
The Pirate,6/11/48
The Good Heart,9/11/09
The History Boys,10/2/06
Midnight Cowboy,5/25/69
The Full Monty,8/13/97
Airplane!,7/2/80
Chain of Command,8/30/15
Friday,4/26/95
Menace II Society,5/26/93
Creepshow 2,5/1/87
The Ballad of Cable Hogue,5/13/70
In Cold Blood,12/14/67
The Nun's Story,6/18/59
Harper,2/23/66
Frenzy,5/25/72
The Witch,2/19/16
I Got the Hook Up,5/27/98
She's the One,8/26/96
Gods and Monsters,1/21/98
El secreto de sus ojos,8/13/09
Train,10/16/08
Evil Dead II,3/13/87
Pootie Tang,6/29/01
Sharknado,7/11/13
La otra conquista,4/1/99
Trolljegeren,10/29/10
Ira & Abby,1/1/06
Winter Passing,2/7/06
D.E.B.S.,1/21/04
The Masked Saint,1/8/16
The Betrayed,9/27/08
Taxman,9/16/99
The Secret,4/29/16
"Batman: The Dark Knight Returns, Part 2",1/18/13
Time to Choose,9/4/15
In the Name of the King III,12/27/13
Wicked Blood,3/4/14
Dawn Patrol,6/5/15
Lords of London,1/6/14
High Anxiety,12/25/77
La Marche de l'empereur,1/26/05
Margin Call,9/28/11
August,6/9/11
Choke,9/26/08
Whiplash,10/10/14
Cidade de Deus,2/5/02
Human Traffic,6/4/99
To Write Love on Her Arms,3/13/15
The Dead Girl,11/7/06
Jagten,8/28/12
A Christmas Story,11/18/83
Bella,9/9/06
Class of 1984,8/20/82
Opposite Sex,11/8/14
Dreaming of Joseph Lees,10/29/99
Entre les murs,9/24/08
Rosemary's Baby,6/12/68
The Man Who Shot Liberty Valance,4/22/62
Adam,7/29/09
"María, llena eres de gracia",1/18/04
Beginners,9/11/10
Feast,10/14/05
Animal House,7/27/78
Goldfinger,9/17/64
Antiviral,9/19/12
It's a Wonderful Life,12/20/46
Trainspotting,2/23/96
The Original Kings of Comedy,8/18/00
Paranormal Activity 2,10/20/10
Waking Ned,9/15/98
Bowling for Columbine,10/9/02
归来,5/16/14
A Nightmare on Elm Street Part 2: Freddy's Revenge,10/31/85
A Room with a View,12/13/85
The Purge,5/31/13
Sinister,3/29/12
